group,slot,asset,name,url,img_index
p1,6509,11868,101001,https://nyu.databrary.org/slot/6509/-/asset/11868/download?inline=true,1
p1,6509,11869,101002,https://nyu.databrary.org/slot/6509/-/asset/11869/download?inline=true,2
p1,6509,11870,101003,https://nyu.databrary.org/slot/6509/-/asset/11870/download?inline=true,3
p1,6509,11871,101004,https://nyu.databrary.org/slot/6509/-/asset/11871/download?inline=true,4
p1,6509,11872,101005,https://nyu.databrary.org/slot/6509/-/asset/11872/download?inline=true,5
p1,6509,11873,101006,https://nyu.databrary.org/slot/6509/-/asset/11873/download?inline=true,6
p1,6509,11874,101007,https://nyu.databrary.org/slot/6509/-/asset/11874/download?inline=true,7
p1,6509,11875,101008,https://nyu.databrary.org/slot/6509/-/asset/11875/download?inline=true,8
p1,6509,11876,101009,https://nyu.databrary.org/slot/6509/-/asset/11876/download?inline=true,9
p1,6509,11877,101010,https://nyu.databrary.org/slot/6509/-/asset/11877/download?inline=true,10
p1,6509,11878,101011,https://nyu.databrary.org/slot/6509/-/asset/11878/download?inline=true,11
p1,6509,11879,101012,https://nyu.databrary.org/slot/6509/-/asset/11879/download?inline=true,12
p1,6509,11880,101013,https://nyu.databrary.org/slot/6509/-/asset/11880/download?inline=true,13
p1,6509,11881,101014,https://nyu.databrary.org/slot/6509/-/asset/11881/download?inline=true,14
p1,6509,11882,101015,https://nyu.databrary.org/slot/6509/-/asset/11882/download?inline=true,15
p1,6509,11883,101016,https://nyu.databrary.org/slot/6509/-/asset/11883/download?inline=true,16
p1,6509,11884,101017,https://nyu.databrary.org/slot/6509/-/asset/11884/download?inline=true,17
p1,6509,11885,101018,https://nyu.databrary.org/slot/6509/-/asset/11885/download?inline=true,18
p1,6509,11886,101019,https://nyu.databrary.org/slot/6509/-/asset/11886/download?inline=true,19
p1,6509,11887,101020,https://nyu.databrary.org/slot/6509/-/asset/11887/download?inline=true,20
p3m1,6510,11888,114001,https://nyu.databrary.org/slot/6510/-/asset/11888/download?inline=true,1
p3m1,6510,11889,114002,https://nyu.databrary.org/slot/6510/-/asset/11889/download?inline=true,2
p3m1,6510,11890,114003,https://nyu.databrary.org/slot/6510/-/asset/11890/download?inline=true,3
p3m1,6510,11891,114004,https://nyu.databrary.org/slot/6510/-/asset/11891/download?inline=true,4
p3m1,6510,11892,114005,https://nyu.databrary.org/slot/6510/-/asset/11892/download?inline=true,5
p3m1,6510,11893,114006,https://nyu.databrary.org/slot/6510/-/asset/11893/download?inline=true,6
p3m1,6510,11894,114007,https://nyu.databrary.org/slot/6510/-/asset/11894/download?inline=true,7
p3m1,6510,11895,114008,https://nyu.databrary.org/slot/6510/-/asset/11895/download?inline=true,8
p3m1,6510,11896,114009,https://nyu.databrary.org/slot/6510/-/asset/11896/download?inline=true,9
p3m1,6510,11897,114010,https://nyu.databrary.org/slot/6510/-/asset/11897/download?inline=true,10
