"Exemplar.Row","Exemplar.Col","Jaccard"
115001,115001,1
115002,115001,0
115003,115001,0.158
115004,115001,0.158
115005,115001,0.1
115006,115001,0.048
115007,115001,0.048
115008,115001,0.1
115009,115001,0.375
115010,115001,0.1
115011,115001,0.158
115012,115001,0.294
115013,115001,0.158
115014,115001,0.048
115015,115001,0.158
115016,115001,0
115017,115001,0.158
115018,115001,0.048
115019,115001,0.222
115020,115001,0
115001,115002,0
115002,115002,1
115003,115002,0.048
115004,115002,0.1
115005,115002,0.1
115006,115002,0.158
115007,115002,0.571
115008,115002,0.048
115009,115002,0.158
115010,115002,0.158
115011,115002,0.048
115012,115002,0.1
115013,115002,0.048
115014,115002,0.375
115015,115002,0.1
115016,115002,0.222
115017,115002,0.375
115018,115002,0.1
115019,115002,0.1
115020,115002,0.375
115001,115003,0.158
115002,115003,0.048
115003,115003,1
115004,115003,0.1
115005,115003,0.294
115006,115003,0.048
115007,115003,0.1
115008,115003,0.222
115009,115003,0.158
115010,115003,0.158
115011,115003,0.048
115012,115003,0.158
115013,115003,0.1
115014,115003,0.048
115015,115003,0.1
115016,115003,0.1
115017,115003,0.1
115018,115003,0.1
115019,115003,0.222
115020,115003,0.048
115001,115004,0.158
115002,115004,0.1
115003,115004,0.1
115004,115004,1
115005,115004,0.1
115006,115004,0.222
115007,115004,0.048
115008,115004,0.222
115009,115004,0.375
115010,115004,0.048
115011,115004,0.222
115012,115004,0.048
115013,115004,0.158
115014,115004,0.158
115015,115004,0.158
115016,115004,0.158
115017,115004,0.1
115018,115004,0.294
115019,115004,0.158
115020,115004,0.158
115001,115005,0.1
115002,115005,0.1
115003,115005,0.294
115004,115005,0.1
115005,115005,1
115006,115005,0.1
115007,115005,0.222
115008,115005,0.1
115009,115005,0.048
115010,115005,0.048
115011,115005,0.048
115012,115005,0.294
115013,115005,0.048
115014,115005,0
115015,115005,0.1
115016,115005,0.1
115017,115005,0.048
115018,115005,0.294
115019,115005,0
115020,115005,0.048
115001,115006,0.048
115002,115006,0.158
115003,115006,0.048
115004,115006,0.222
115005,115006,0.1
115006,115006,1
115007,115006,0.1
115008,115006,0.222
115009,115006,0.048
115010,115006,0.158
115011,115006,0.222
115012,115006,0.158
115013,115006,0.158
115014,115006,0.158
115015,115006,0.294
115016,115006,0.375
115017,115006,0.222
115018,115006,0.222
115019,115006,0.222
115020,115006,0.1
115001,115007,0.048
115002,115007,0.571
115003,115007,0.1
115004,115007,0.048
115005,115007,0.222
115006,115007,0.1
115007,115007,1
115008,115007,0.1
115009,115007,0.048
115010,115007,0.158
115011,115007,0
115012,115007,0.158
115013,115007,0.1
115014,115007,0.222
115015,115007,0.048
115016,115007,0.158
115017,115007,0.222
115018,115007,0.048
115019,115007,0.048
115020,115007,0.375
115001,115008,0.1
115002,115008,0.048
115003,115008,0.222
115004,115008,0.222
115005,115008,0.1
115006,115008,0.222
115007,115008,0.1
115008,115008,1
115009,115008,0.048
115010,115008,0.1
115011,115008,0.048
115012,115008,0.222
115013,115008,0.222
115014,115008,0.1
115015,115008,0.222
115016,115008,0.158
115017,115008,0.1
115018,115008,0.158
115019,115008,0.222
115020,115008,0.048
115001,115009,0.375
115002,115009,0.158
115003,115009,0.158
115004,115009,0.375
115005,115009,0.048
115006,115009,0.048
115007,115009,0.048
115008,115009,0.048
115009,115009,1
115010,115009,0.158
115011,115009,0.158
115012,115009,0.1
115013,115009,0.1
115014,115009,0.222
115015,115009,0.1
115016,115009,0.048
115017,115009,0.1
115018,115009,0.1
115019,115009,0.222
115020,115009,0.1
115001,115010,0.1
115002,115010,0.158
115003,115010,0.158
115004,115010,0.048
115005,115010,0.048
115006,115010,0.158
115007,115010,0.158
115008,115010,0.1
115009,115010,0.158
115010,115010,1
115011,115010,0.1
115012,115010,0.048
115013,115010,0.294
115014,115010,0.158
115015,115010,0.222
115016,115010,0.222
115017,115010,0.158
115018,115010,0.1
115019,115010,0.158
115020,115010,0.294
115001,115011,0.158
115002,115011,0.048
115003,115011,0.048
115004,115011,0.222
115005,115011,0.048
115006,115011,0.222
115007,115011,0
115008,115011,0.048
115009,115011,0.158
115010,115011,0.1
115011,115011,1
115012,115011,0.048
115013,115011,0.158
115014,115011,0.222
115015,115011,0.222
115016,115011,0.222
115017,115011,0.1
115018,115011,0.158
115019,115011,0.158
115020,115011,0.1
115001,115012,0.294
115002,115012,0.1
115003,115012,0.158
115004,115012,0.048
115005,115012,0.294
115006,115012,0.158
115007,115012,0.158
115008,115012,0.222
115009,115012,0.1
115010,115012,0.048
115011,115012,0.048
115012,115012,1
115013,115012,0.1
115014,115012,0
115015,115012,0.1
115016,115012,0.048
115017,115012,0.1
115018,115012,0.158
115019,115012,0.1
115020,115012,0.048
115001,115013,0.158
115002,115013,0.048
115003,115013,0.1
115004,115013,0.158
115005,115013,0.048
115006,115013,0.158
115007,115013,0.1
115008,115013,0.222
115009,115013,0.1
115010,115013,0.294
115011,115013,0.158
115012,115013,0.1
115013,115013,1
115014,115013,0.158
115015,115013,0.158
115016,115013,0.222
115017,115013,0.1
115018,115013,0.222
115019,115013,0.158
115020,115013,0.158
115001,115014,0.048
115002,115014,0.375
115003,115014,0.048
115004,115014,0.158
115005,115014,0
115006,115014,0.158
115007,115014,0.222
115008,115014,0.1
115009,115014,0.222
115010,115014,0.158
115011,115014,0.222
115012,115014,0
115013,115014,0.158
115014,115014,1
115015,115014,0.222
115016,115014,0.222
115017,115014,0.222
115018,115014,0.1
115019,115014,0.1
115020,115014,0.467
115001,115015,0.158
115002,115015,0.1
115003,115015,0.1
115004,115015,0.158
115005,115015,0.1
115006,115015,0.294
115007,115015,0.048
115008,115015,0.222
115009,115015,0.1
115010,115015,0.222
115011,115015,0.222
115012,115015,0.1
115013,115015,0.158
115014,115015,0.222
115015,115015,1
115016,115015,0.158
115017,115015,0.1
115018,115015,0.158
115019,115015,0.467
115020,115015,0.158
115001,115016,0
115002,115016,0.222
115003,115016,0.1
115004,115016,0.158
115005,115016,0.1
115006,115016,0.375
115007,115016,0.158
115008,115016,0.158
115009,115016,0.048
115010,115016,0.222
115011,115016,0.222
115012,115016,0.048
115013,115016,0.222
115014,115016,0.222
115015,115016,0.158
115016,115016,1
115017,115016,0.294
115018,115016,0.375
115019,115016,0.158
115020,115016,0.158
115001,115017,0.158
115002,115017,0.375
115003,115017,0.1
115004,115017,0.1
115005,115017,0.048
115006,115017,0.222
115007,115017,0.222
115008,115017,0.1
115009,115017,0.1
115010,115017,0.158
115011,115017,0.1
115012,115017,0.1
115013,115017,0.1
115014,115017,0.222
115015,115017,0.1
115016,115017,0.294
115017,115017,1
115018,115017,0.048
115019,115017,0.158
115020,115017,0.294
115001,115018,0.048
115002,115018,0.1
115003,115018,0.1
115004,115018,0.294
115005,115018,0.294
115006,115018,0.222
115007,115018,0.048
115008,115018,0.158
115009,115018,0.1
115010,115018,0.1
115011,115018,0.158
115012,115018,0.158
115013,115018,0.222
115014,115018,0.1
115015,115018,0.158
115016,115018,0.375
115017,115018,0.048
115018,115018,1
115019,115018,0.158
115020,115018,0.048
115001,115019,0.222
115002,115019,0.1
115003,115019,0.222
115004,115019,0.158
115005,115019,0
115006,115019,0.222
115007,115019,0.048
115008,115019,0.222
115009,115019,0.222
115010,115019,0.158
115011,115019,0.158
115012,115019,0.1
115013,115019,0.158
115014,115019,0.1
115015,115019,0.467
115016,115019,0.158
115017,115019,0.158
115018,115019,0.158
115019,115019,1
115020,115019,0.1
115001,115020,0
115002,115020,0.375
115003,115020,0.048
115004,115020,0.158
115005,115020,0.048
115006,115020,0.1
115007,115020,0.375
115008,115020,0.048
115009,115020,0.1
115010,115020,0.294
115011,115020,0.1
115012,115020,0.048
115013,115020,0.158
115014,115020,0.467
115015,115020,0.158
115016,115020,0.158
115017,115020,0.294
115018,115020,0.048
115019,115020,0.1
115020,115020,1
