"Exemplar.Row","Exemplar.Col","Jaccard"
114001,114001,1
114002,114001,0.375
114003,114001,0.1
114004,114001,0.1
114005,114001,0.222
114006,114001,0.1
114007,114001,0.1
114008,114001,0.222
114009,114001,0.375
114010,114001,0.294
114011,114001,0.294
114012,114001,0.158
114013,114001,0.222
114014,114001,0.1
114015,114001,0.294
114016,114001,0.222
114017,114001,0.375
114018,114001,0.158
114019,114001,0.158
114020,114001,0.158
114001,114002,0.375
114002,114002,1
114003,114002,0.1
114004,114002,0.1
114005,114002,0.222
114006,114002,0.222
114007,114002,0.158
114008,114002,0.158
114009,114002,0.294
114010,114002,0.222
114011,114002,0.222
114012,114002,0.048
114013,114002,0.158
114014,114002,0.158
114015,114002,0.158
114016,114002,0.158
114017,114002,0.048
114018,114002,0.158
114019,114002,0.222
114020,114002,0.1
114001,114003,0.1
114002,114003,0.1
114003,114003,1
114004,114003,0.158
114005,114003,0.222
114006,114003,0.158
114007,114003,0.294
114008,114003,0.158
114009,114003,0.1
114010,114003,0.222
114011,114003,0.294
114012,114003,0.375
114013,114003,0.222
114014,114003,0.294
114015,114003,0.375
114016,114003,0.222
114017,114003,0.375
114018,114003,0.158
114019,114003,0.294
114020,114003,0.294
114001,114004,0.1
114002,114004,0.1
114003,114004,0.158
114004,114004,1
114005,114004,0.158
114006,114004,0.222
114007,114004,0.1
114008,114004,0.158
114009,114004,0.1
114010,114004,0.375
114011,114004,0.158
114012,114004,0.222
114013,114004,0.158
114014,114004,0.158
114015,114004,0.222
114016,114004,0.158
114017,114004,0.222
114018,114004,0.158
114019,114004,0.048
114020,114004,0.158
114001,114005,0.222
114002,114005,0.222
114003,114005,0.222
114004,114005,0.158
114005,114005,1
114006,114005,0.222
114007,114005,0.294
114008,114005,0.1
114009,114005,0.294
114010,114005,0.1
114011,114005,0.222
114012,114005,0.222
114013,114005,0.375
114014,114005,0.294
114015,114005,0.294
114016,114005,0.222
114017,114005,0.1
114018,114005,0.294
114019,114005,0.1
114020,114005,0.1
114001,114006,0.1
114002,114006,0.222
114003,114006,0.158
114004,114006,0.222
114005,114006,0.222
114006,114006,1
114007,114006,0.222
114008,114006,0.048
114009,114006,0.048
114010,114006,0.158
114011,114006,0.158
114012,114006,0.158
114013,114006,0.222
114014,114006,0.158
114015,114006,0.294
114016,114006,0.222
114017,114006,0.158
114018,114006,0.158
114019,114006,0.1
114020,114006,0.1
114001,114007,0.1
114002,114007,0.158
114003,114007,0.294
114004,114007,0.1
114005,114007,0.294
114006,114007,0.222
114007,114007,1
114008,114007,0.1
114009,114007,0.158
114010,114007,0.158
114011,114007,0.1
114012,114007,0.375
114013,114007,0.158
114014,114007,0.375
114015,114007,0.294
114016,114007,0.294
114017,114007,0.222
114018,114007,0.1
114019,114007,0.571
114020,114007,0.294
114001,114008,0.222
114002,114008,0.158
114003,114008,0.158
114004,114008,0.158
114005,114008,0.1
114006,114008,0.048
114007,114008,0.1
114008,114008,1
114009,114008,0.467
114010,114008,0.222
114011,114008,0.158
114012,114008,0.1
114013,114008,0.158
114014,114008,0.158
114015,114008,0.048
114016,114008,0.222
114017,114008,0.222
114018,114008,0.158
114019,114008,0.158
114020,114008,0.158
114001,114009,0.375
114002,114009,0.294
114003,114009,0.1
114004,114009,0.1
114005,114009,0.294
114006,114009,0.048
114007,114009,0.158
114008,114009,0.467
114009,114009,1
114010,114009,0.222
114011,114009,0.222
114012,114009,0.158
114013,114009,0.222
114014,114009,0.1
114015,114009,0.158
114016,114009,0.1
114017,114009,0.158
114018,114009,0.294
114019,114009,0.158
114020,114009,0.1
114001,114010,0.294
114002,114010,0.222
114003,114010,0.222
114004,114010,0.375
114005,114010,0.1
114006,114010,0.158
114007,114010,0.158
114008,114010,0.222
114009,114010,0.222
114010,114010,1
114011,114010,0.222
114012,114010,0.158
114013,114010,0.1
114014,114010,0.158
114015,114010,0.294
114016,114010,0.294
114017,114010,0.222
114018,114010,0.048
114019,114010,0.222
114020,114010,0.294
114001,114011,0.294
114002,114011,0.222
114003,114011,0.294
114004,114011,0.158
114005,114011,0.222
114006,114011,0.158
114007,114011,0.1
114008,114011,0.158
114009,114011,0.222
114010,114011,0.222
114011,114011,1
114012,114011,0.1
114013,114011,0.294
114014,114011,0.222
114015,114011,0.158
114016,114011,0.048
114017,114011,0.222
114018,114011,0.222
114019,114011,0.158
114020,114011,0.158
114001,114012,0.158
114002,114012,0.048
114003,114012,0.375
114004,114012,0.222
114005,114012,0.222
114006,114012,0.158
114007,114012,0.375
114008,114012,0.1
114009,114012,0.158
114010,114012,0.158
114011,114012,0.1
114012,114012,1
114013,114012,0.222
114014,114012,0.294
114015,114012,0.375
114016,114012,0.158
114017,114012,0.294
114018,114012,0.048
114019,114012,0.375
114020,114012,0.294
114001,114013,0.222
114002,114013,0.158
114003,114013,0.222
114004,114013,0.158
114005,114013,0.375
114006,114013,0.222
114007,114013,0.158
114008,114013,0.158
114009,114013,0.222
114010,114013,0.1
114011,114013,0.294
114012,114013,0.222
114013,114013,1
114014,114013,0.158
114015,114013,0.222
114016,114013,0.222
114017,114013,0.158
114018,114013,0.294
114019,114013,0.1
114020,114013,0.222
114001,114014,0.1
114002,114014,0.158
114003,114014,0.294
114004,114014,0.158
114005,114014,0.294
114006,114014,0.158
114007,114014,0.375
114008,114014,0.158
114009,114014,0.1
114010,114014,0.158
114011,114014,0.222
114012,114014,0.294
114013,114014,0.158
114014,114014,1
114015,114014,0.158
114016,114014,0.222
114017,114014,0.222
114018,114014,0.158
114019,114014,0.222
114020,114014,0.375
114001,114015,0.294
114002,114015,0.158
114003,114015,0.375
114004,114015,0.222
114005,114015,0.294
114006,114015,0.294
114007,114015,0.294
114008,114015,0.048
114009,114015,0.158
114010,114015,0.294
114011,114015,0.158
114012,114015,0.375
114013,114015,0.222
114014,114015,0.158
114015,114015,1
114016,114015,0.222
114017,114015,0.294
114018,114015,0.158
114019,114015,0.294
114020,114015,0.222
114001,114016,0.222
114002,114016,0.158
114003,114016,0.222
114004,114016,0.158
114005,114016,0.222
114006,114016,0.222
114007,114016,0.294
114008,114016,0.222
114009,114016,0.1
114010,114016,0.294
114011,114016,0.048
114012,114016,0.158
114013,114016,0.222
114014,114016,0.222
114015,114016,0.222
114016,114016,1
114017,114016,0.294
114018,114016,0.1
114019,114016,0.158
114020,114016,0.294
114001,114017,0.375
114002,114017,0.048
114003,114017,0.375
114004,114017,0.222
114005,114017,0.1
114006,114017,0.158
114007,114017,0.222
114008,114017,0.222
114009,114017,0.158
114010,114017,0.222
114011,114017,0.222
114012,114017,0.294
114013,114017,0.158
114014,114017,0.222
114015,114017,0.294
114016,114017,0.294
114017,114017,1
114018,114017,0.158
114019,114017,0.158
114020,114017,0.375
114001,114018,0.158
114002,114018,0.158
114003,114018,0.158
114004,114018,0.158
114005,114018,0.294
114006,114018,0.158
114007,114018,0.1
114008,114018,0.158
114009,114018,0.294
114010,114018,0.048
114011,114018,0.222
114012,114018,0.048
114013,114018,0.294
114014,114018,0.158
114015,114018,0.158
114016,114018,0.1
114017,114018,0.158
114018,114018,1
114019,114018,0
114020,114018,0.1
114001,114019,0.158
114002,114019,0.222
114003,114019,0.294
114004,114019,0.048
114005,114019,0.1
114006,114019,0.1
114007,114019,0.571
114008,114019,0.158
114009,114019,0.158
114010,114019,0.222
114011,114019,0.158
114012,114019,0.375
114013,114019,0.1
114014,114019,0.222
114015,114019,0.294
114016,114019,0.158
114017,114019,0.158
114018,114019,0
114019,114019,1
114020,114019,0.375
114001,114020,0.158
114002,114020,0.1
114003,114020,0.294
114004,114020,0.158
114005,114020,0.1
114006,114020,0.1
114007,114020,0.294
114008,114020,0.158
114009,114020,0.1
114010,114020,0.294
114011,114020,0.158
114012,114020,0.294
114013,114020,0.222
114014,114020,0.375
114015,114020,0.222
114016,114020,0.294
114017,114020,0.375
114018,114020,0.1
114019,114020,0.375
114020,114020,1
