"group","slot","asset"
"P1",6509,11868
"P1",6509,11869
"P1",6509,11870
"P1",6509,11871
"P1",6509,11872
"P1",6509,11873
"P1",6509,11874
"P1",6509,11875
"P1",6509,11876
"P1",6509,11877
"P1",6509,11878
"P1",6509,11879
"P1",6509,11880
"P1",6509,11881
"P1",6509,11882
"P1",6509,11883
"P1",6509,11884
"P1",6509,11885
"P1",6509,11886
"P1",6509,11887
"P3M1",6510,11888
"P3M1",6510,11889
"P3M1",6510,11890
"P3M1",6510,11891
"P3M1",6510,11892
"P3M1",6510,11893
"P3M1",6510,11894
"P3M1",6510,11895
"P3M1",6510,11896
"P3M1",6510,11897
"P3M1",6510,11898
"P3M1",6510,11899
"P3M1",6510,11900
"P3M1",6510,11901
"P3M1",6510,11902
"P3M1",6510,11903
"P3M1",6510,11904
"P3M1",6510,11905
"P3M1",6510,11906
"P3M1",6510,11907
"P31M",6511,11908
"P31M",6511,11909
"P31M",6511,11910
"P31M",6511,11911
"P31M",6511,11912
"P31M",6511,11913
"P31M",6511,11914
"P31M",6511,11915
"P31M",6511,11916
"P31M",6511,11917
"P31M",6511,11918
"P31M",6511,11919
"P31M",6511,11920
"P31M",6511,11921
"P31M",6511,11922
"P31M",6511,11923
"P31M",6511,11924
"P31M",6511,11925
"P31M",6511,11926
"P31M",6511,11927
"P6M",6512,11928
"P6M",6512,11929
"P6M",6512,11930
"P6M",6512,11931
"P6M",6512,11933
"P6M",6512,11934
"P6M",6512,11935
"P6M",6512,11936
"P6M",6512,11937
"P6M",6512,11938
"P6M",6512,11939
"P6M",6512,11940
"P6M",6512,11941
"P6M",6512,11942
"P6M",6512,11943
"P6M",6512,11944
"P6M",6512,11945
"P6M",6512,11946
"P6M",6512,11947
"P6M",6512,11948
"P6",6513,11949
"P6",6513,11950
"P6",6513,11951
"P6",6513,11952
"P6",6513,11953
"P6",6513,11954
"P6",6513,11955
"P6",6513,11956
"P6",6513,11957
"P6",6513,11958
"P6",6513,11959
"P6",6513,11960
"P6",6513,11961
"P6",6513,11962
"P6",6513,11963
"P6",6513,11964
"P6",6513,11965
"P6",6513,11966
"P6",6513,11967
"P6",6513,11968
