"Participant","Set","Nsets","Group"
"8000",44,14,"P1"
"8000",45,6,"P1"
"8000",51,7,"P3M1"
"8000",52,1,"P3M1"
"8000",52,5,"P6M"
"8000",53,3,"P3M1"
"8000",53,3,"P6M"
"8000",54,13,"P31M"
"8000",54,11,"P6M"
"8000",54,9,"P3M1"
"8000",55,1,"P6M"
"8000",55,4,"P31M"
"8000",56,1,"P31M"
"8000",57,2,"P31M"
"8000",62,12,"P6"
"8000",63,3,"P6"
"8000",64,2,"P6"
"8000",65,3,"P6"
"8001",46,2,"P1"
"8001",47,3,"P1"
"8001",48,3,"P1"
"8001",49,3,"P1"
"8001",50,3,"P1"
"8001",51,3,"P1"
"8001",52,3,"P1"
"8001",55,2,"P3M1"
"8001",56,2,"P6M"
"8001",56,2,"P3M1"
"8001",57,2,"P3M1"
"8001",57,3,"P6M"
"8001",58,2,"P3M1"
"8001",58,3,"P6M"
"8001",58,3,"P31M"
"8001",59,2,"P3M1"
"8001",59,3,"P6M"
"8001",59,2,"P31M"
"8001",60,2,"P3M1"
"8001",60,3,"P6M"
"8001",60,3,"P31M"
"8001",61,3,"P31M"
"8001",61,2,"P3M1"
"8001",61,3,"P6M"
"8001",62,2,"P3M1"
"8001",62,3,"P6M"
"8001",62,3,"P31M"
"8001",63,3,"P31M"
"8001",63,2,"P3M1"
"8001",64,2,"P3M1"
"8001",64,3,"P31M"
"8001",66,2,"P6"
"8001",67,3,"P6"
"8001",68,3,"P6"
"8001",69,3,"P6"
"8001",70,3,"P6"
"8001",71,3,"P6"
"8001",72,3,"P6"
"8002",53,10,"P1"
"8002",54,10,"P1"
"8002",63,2,"P6M"
"8002",64,5,"P6M"
"8002",65,5,"P31M"
"8002",65,6,"P6M"
"8002",65,5,"P3M1"
"8002",66,3,"P3M1"
"8002",66,4,"P31M"
"8002",66,4,"P6M"
"8002",67,3,"P6M"
"8002",67,6,"P3M1"
"8002",67,6,"P31M"
"8002",68,5,"P31M"
"8002",68,6,"P3M1"
"8002",73,4,"P6"
"8002",74,6,"P6"
"8002",75,5,"P6"
"8002",76,5,"P6"
"8003",55,13,"P1"
"8003",56,7,"P1"
"8003",68,10,"P6M"
"8003",69,11,"P6M"
"8003",69,9,"P3M1"
"8003",69,14,"P31M"
"8003",70,6,"P31M"
"8003",70,11,"P3M1"
"8003",77,6,"P6"
"8003",78,14,"P6"
"8004",57,13,"P1"
"8004",58,7,"P1"
"8004",70,2,"P6M"
"8004",71,8,"P6M"
"8004",71,6,"P3M1"
"8004",71,5,"P31M"
"8004",72,2,"P31M"
"8004",72,7,"P3M1"
"8004",72,10,"P6M"
"8004",73,4,"P3M1"
"8004",73,9,"P31M"
"8004",74,4,"P31M"
"8004",74,3,"P3M1"
"8004",79,6,"P6"
"8004",80,4,"P6"
"8004",81,2,"P6"
"8004",82,2,"P6"
"8004",84,2,"P6"
"8004",85,4,"P6"
"8005",59,4,"P1"
"8005",60,5,"P1"
"8005",61,4,"P1"
"8005",62,3,"P1"
"8005",63,2,"P1"
"8005",64,2,"P1"
"8005",73,4,"P6M"
"8005",74,2,"P6M"
"8005",75,3,"P6M"
"8005",75,3,"P31M"
"8005",75,3,"P3M1"
"8005",76,4,"P31M"
"8005",76,5,"P3M1"
"8005",76,4,"P6M"
"8005",77,3,"P3M1"
"8005",77,7,"P6M"
"8005",77,4,"P31M"
"8005",78,4,"P3M1"
"8005",78,3,"P31M"
"8005",79,5,"P3M1"
"8005",79,6,"P31M"
"8005",86,6,"P6"
"8005",87,7,"P6"
"8005",88,2,"P6"
"8005",89,2,"P6"
"8005",90,3,"P6"
"8006",65,5,"P1"
"8006",66,6,"P1"
"8006",67,9,"P1"
"8006",78,5,"P6M"
"8006",79,5,"P6M"
"8006",80,3,"P3M1"
"8006",80,4,"P6M"
"8006",80,7,"P31M"
"8006",81,3,"P6M"
"8006",81,7,"P31M"
"8006",81,8,"P3M1"
"8006",82,3,"P6M"
"8006",82,5,"P3M1"
"8006",82,6,"P31M"
"8006",83,4,"P3M1"
"8006",91,8,"P6"
"8006",92,3,"P6"
"8006",93,5,"P6"
"8006",94,4,"P6"
"8007",68,10,"P1"
"8007",69,10,"P1"
"8007",83,8,"P31M"
"8007",83,6,"P6M"
"8007",84,3,"P6M"
"8007",84,7,"P31M"
"8007",84,8,"P3M1"
"8007",85,5,"P3M1"
"8007",85,3,"P6M"
"8007",85,5,"P31M"
"8007",86,9,"P6M"
"8007",86,7,"P3M1"
"8007",95,9,"P6"
"8007",96,5,"P6"
"8007",97,2,"P6"
"8007",98,4,"P6"
"8008",70,7,"P1"
