Exemplar.Row,Exemplar.Col,Jaccard,Group
101001,101002,0.269230769230769,P1
101001,101003,0.178571428571429,P1
101001,101004,0.11864406779661,P1
101001,101005,0.222222222222222,P1
101001,101006,0.2,P1
101001,101007,0.157894736842105,P1
101001,101008,0.178571428571429,P1
101001,101009,0.245283018867925,P1
101001,101010,0.222222222222222,P1
101001,101011,0.203703703703704,P1
101001,101012,0.157894736842105,P1
101001,101013,0.2,P1
101001,101014,0.157894736842105,P1
101001,101015,0.32,P1
101001,101016,0.222222222222222,P1
101001,101017,0.269230769230769,P1
101001,101018,0.178571428571429,P1
101001,101019,0.222222222222222,P1
101001,101020,0.157894736842105,P1
101002,101003,0.178571428571429,P1
101002,101004,0.178571428571429,P1
101002,101005,0.178571428571429,P1
101002,101006,0.294117647058824,P1
101002,101007,0.157894736842105,P1
101002,101008,0.222222222222222,P1
101002,101009,0.245283018867925,P1
101002,101010,0.157894736842105,P1
101002,101011,0.326530612244898,P1
101002,101012,0.0819672131147541,P1
101002,101013,0.137931034482759,P1
101002,101014,0.2,P1
101002,101015,0.178571428571429,P1
101002,101016,0.2,P1
101002,101017,0.157894736842105,P1
101002,101018,0.178571428571429,P1
101002,101019,0.178571428571429,P1
101002,101020,0.178571428571429,P1
101003,101004,0.245283018867925,P1
101003,101005,0.178571428571429,P1
101003,101006,0.178571428571429,P1
101003,101007,0.269230769230769,P1
101003,101008,0.269230769230769,P1
101003,101009,0.222222222222222,P1
101003,101010,0.178571428571429,P1
101003,101011,0.274509803921569,P1
101003,101012,0.269230769230769,P1
101003,101013,0.137931034482759,P1
101003,101014,0.2,P1
101003,101015,0.32,P1
101003,101016,0.178571428571429,P1
101003,101017,0.294117647058824,P1
101003,101018,0.2,P1
101003,101019,0.178571428571429,P1
101003,101020,0.157894736842105,P1
101004,101005,0.269230769230769,P1
101004,101006,0.32,P1
101004,101007,0.2,P1
101004,101008,0.269230769230769,P1
101004,101009,0.245283018867925,P1
101004,101010,0.2,P1
101004,101011,0.3,P1
101004,101012,0.2,P1
101004,101013,0.178571428571429,P1
101004,101014,0.157894736842105,P1
101004,101015,0.157894736842105,P1
101004,101016,0.137931034482759,P1
101004,101017,0.2,P1
101004,101018,0.2,P1
101004,101019,0.157894736842105,P1
101004,101020,0.222222222222222,P1
101005,101006,0.222222222222222,P1
101005,101007,0.245283018867925,P1
101005,101008,0.157894736842105,P1
101005,101009,0.2,P1
101005,101010,0.178571428571429,P1
101005,101011,0.226415094339623,P1
101005,101012,0.245283018867925,P1
101005,101013,0.2,P1
101005,101014,0.2,P1
101005,101015,0.269230769230769,P1
101005,101016,0.245283018867925,P1
101005,101017,0.11864406779661,P1
101005,101018,0.245283018867925,P1
101005,101019,0.157894736842105,P1
101005,101020,0.178571428571429,P1
101006,101007,0.245283018867925,P1
101006,101008,0.157894736842105,P1
101006,101009,0.137931034482759,P1
101006,101010,0.11864406779661,P1
101006,101011,0.226415094339623,P1
101006,101012,0.0819672131147541,P1
101006,101013,0.2,P1
101006,101014,0.137931034482759,P1
101006,101015,0.2,P1
101006,101016,0.137931034482759,P1
101006,101017,0.178571428571429,P1
101006,101018,0.269230769230769,P1
101006,101019,0.178571428571429,P1
101006,101020,0.178571428571429,P1
101007,101008,0.1,P1
101007,101009,0.157894736842105,P1
101007,101010,0.294117647058824,P1
101007,101011,0.120689655172414,P1
101007,101012,0.32,P1
101007,101013,0.137931034482759,P1
101007,101014,0.178571428571429,P1
101007,101015,0.32,P1
101007,101016,0.294117647058824,P1
101007,101017,0.294117647058824,P1
101007,101018,0.222222222222222,P1
101007,101019,0.375,P1
101007,101020,0.245283018867925,P1
101008,101009,0.434782608695652,P1
101008,101010,0.11864406779661,P1
101008,101011,0.25,P1
101008,101012,0.178571428571429,P1
101008,101013,0.157894736842105,P1
101008,101014,0.2,P1
101008,101015,0.1,P1
101008,101016,0.1,P1
101008,101017,0.178571428571429,P1
101008,101018,0.222222222222222,P1
101008,101019,0.137931034482759,P1
101008,101020,0.1,P1
101009,101010,0.222222222222222,P1
101009,101011,0.25,P1
101009,101012,0.157894736842105,P1
101009,101013,0.178571428571429,P1
101009,101014,0.2,P1
101009,101015,0.178571428571429,P1
101009,101016,0.137931034482759,P1
101009,101017,0.269230769230769,P1
101009,101018,0.2,P1
101009,101019,0.178571428571429,P1
101009,101020,0.11864406779661,P1
101010,101011,0.160714285714286,P1
101010,101012,0.222222222222222,P1
101010,101013,0.137931034482759,P1
101010,101014,0.178571428571429,P1
101010,101015,0.346938775510204,P1
101010,101016,0.404255319148936,P1
101010,101017,0.222222222222222,P1
101010,101018,0.0819672131147541,P1
101010,101019,0.269230769230769,P1
101010,101020,0.346938775510204,P1
101011,101012,0.101694915254237,P1
101011,101013,0.226415094339623,P1
101011,101014,0.203703703703704,P1
101011,101015,0.181818181818182,P1
101011,101016,0.120689655172414,P1
101011,101017,0.226415094339623,P1
101011,101018,0.181818181818182,P1
101011,101019,0.0833333333333333,P1
101011,101020,0.181818181818182,P1
101012,101013,0.269230769230769,P1
101012,101014,0.245283018867925,P1
101012,101015,0.269230769230769,P1
101012,101016,0.2,P1
101012,101017,0.157894736842105,P1
101012,101018,0.137931034482759,P1
101012,101019,0.294117647058824,P1
101012,101020,0.245283018867925,P1
101013,101014,0.222222222222222,P1
101013,101015,0.178571428571429,P1
101013,101016,0.137931034482759,P1
101013,101017,0.137931034482759,P1
101013,101018,0.294117647058824,P1
101013,101019,0.178571428571429,P1
101013,101020,0.178571428571429,P1
101014,101015,0.157894736842105,P1
101014,101016,0.2,P1
101014,101017,0.157894736842105,P1
101014,101018,0.178571428571429,P1
101014,101019,0.269230769230769,P1
101014,101020,0.2,P1
101015,101016,0.294117647058824,P1
101015,101017,0.245283018867925,P1
101015,101018,0.178571428571429,P1
101015,101019,0.245283018867925,P1
101015,101020,0.178571428571429,P1
101016,101017,0.32,P1
101016,101018,0.0819672131147541,P1
101016,101019,0.2,P1
101016,101020,0.375,P1
101017,101018,0.0819672131147541,P1
101017,101019,0.2,P1
101017,101020,0.269230769230769,P1
101018,101019,0.1,P1
101018,101020,0.1,P1
101019,101020,0.32,P1
115001,115002,0.0476190476190476,P31M
115001,115003,0.137931034482759,P31M
115001,115004,0.137931034482759,P31M
