Participant,Set,X116001,X116002,X116003,X116004,X116005,X116006,X116007,X116008,X116009,X116010,X116011,X116012,X116013,X116014,X116015,X116016,X116017,X116018,X116019,X116020,Set_size,Group
diam,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,7,P6
diam,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,5,P6
diam,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,P6
diam,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,P6
logo,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,P6
logo,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P6
logo,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,P6
logo,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,P6
logo,9,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,4,P6
logo,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,P6
logo,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,P6
logo,12,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,4,P6
wiad,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4,P6
wiad,14,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,5,P6
wiad,15,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,5,P6
wiad,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,6,P6
gege,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,P6
gege,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,P6
gege,19,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,P6
