Participant,Set,X116001,X116002,X116003,X116004,X116005,X116006,X116007,X116008,X116009,X116010,X116011,X116012,X116013,X116014,X116015,X116016,X116017,X116018,X116019,X116020,Set_size,Group
diam,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,7,P6
diam,2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,5,P6
diam,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,4,P6
diam,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,4,P6
logo,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,P6
logo,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,P6
logo,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,P6
logo,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,P6
logo,9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,4,P6
logo,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,P6
logo,11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,P6
logo,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,P6
wiad,13,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,P6
wiad,14,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5,P6
wiad,15,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,5,P6
wiad,16,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,6,P6
gege,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,P6
gege,18,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,P6
gege,19,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,P6
gege,20,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P6
gege,21,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,P6
gege,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P6
gege,23,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,P6
gege,24,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,P6
seoc,25,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3,P6
seoc,26,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,P6
seoc,27,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,P6
seoc,28,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,P6
seoc,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,P6
seoc,30,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,P6
seoc,31,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,P6
sapa,32,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,P6
sapa,33,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,P6
sapa,34,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,10,P6
male,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,P6
male,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,P6
male,37,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,P6
male,38,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,4,P6
male,39,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,P6
male,40,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,4,P6
male,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,P6
male,42,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,P6
anko,43,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,7,P6
anko,44,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P6
anko,45,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,7,P6
anko,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,P6
anko,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,P6
jawa,48,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,P6
jawa,49,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,P6
jawa,50,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,P6
jawa,51,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,P6
jawa,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,P6
jawa,53,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,P6
jawa,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,P6
jawa,55,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,P6
jawa,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,P6
toal,57,0,0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,9,P6
toal,58,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,11,P6
daha,59,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,6,P6
daha,60,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,11,P6
daha,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,P6
8000,62,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,12,P6
8000,63,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,P6
8000,64,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,P6
8000,65,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,P6
8001,66,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P6
8001,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,P6
8001,68,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,P6
8001,69,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,P6
8001,70,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,P6
8001,71,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,P6
8001,72,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,P6
8002,73,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,P6
8002,74,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,6,P6
8002,75,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,5,P6
8002,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,5,P6
8003,77,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,6,P6
8003,78,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,14,P6
8004,79,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,6,P6
8004,80,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,P6
8004,81,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,P6
8004,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,P6
8004,84,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,P6
8004,85,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,P6
8005,86,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,6,P6
8005,87,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,7,P6
8005,88,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,P6
8005,89,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,P6
8005,90,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,3,P6
