"Exemplar.Row","Exemplar.Col","Jaccard"
116001,116001,1
116002,116001,0.222
116003,116001,0.048
116004,116001,0.048
116005,116001,0.211
116006,116001,0
116007,116001,0.048
116008,116001,0
116009,116001,0
116010,116001,0.048
116011,116001,0.1
116012,116001,0.1
116013,116001,0.048
116014,116001,0.158
116015,116001,0.235
116016,116001,0.1
116017,116001,0.222
116018,116001,0.222
116019,116001,0.158
116020,116001,0.158
116001,116002,0.222
116002,116002,1
116003,116002,0.158
116004,116002,0.1
116005,116002,0.15
116006,116002,0.048
116007,116002,0.048
116008,116002,0
116009,116002,0.1
116010,116002,0.1
116011,116002,0.375
116012,116002,0.222
116013,116002,0.1
116014,116002,0.158
116015,116002,0.105
116016,116002,0.294
116017,116002,0.158
116018,116002,0.1
116019,116002,0.158
116020,116002,0.1
116001,116003,0.048
116002,116003,0.158
116003,116003,1
116004,116003,0.222
116005,116003,0.095
116006,116003,0.222
116007,116003,0.158
116008,116003,0.048
116009,116003,0.1
116010,116003,0.222
116011,116003,0.1
116012,116003,0.158
116013,116003,0.158
116014,116003,0.294
116015,116003,0.05
116016,116003,0.158
116017,116003,0.222
116018,116003,0.048
116019,116003,0.158
116020,116003,0.1
116001,116004,0.048
116002,116004,0.1
116003,116004,0.222
116004,116004,1
116005,116004,0.095
116006,116004,0.048
116007,116004,0.158
116008,116004,0
116009,116004,0.048
116010,116004,0.294
116011,116004,0.158
116012,116004,0.294
116013,116004,0.048
116014,116004,0.1
116015,116004,0.167
116016,116004,0.158
116017,116004,0.1
116018,116004,0.1
116019,116004,0.1
116020,116004,0.1
116001,116005,0.211
116002,116005,0.15
116003,116005,0.095
116004,116005,0.095
116005,116005,1
116006,116005,0.095
116007,116005,0.15
116008,116005,0.095
116009,116005,0.15
116010,116005,0.045
116011,116005,0.15
116012,116005,0.15
116013,116005,0.278
116014,116005,0.045
116015,116005,0.048
116016,116005,0.045
116017,116005,0.095
116018,116005,0
116019,116005,0.211
116020,116005,0.211
116001,116006,0
116002,116006,0.048
116003,116006,0.222
116004,116006,0.048
116005,116006,0.095
116006,116006,1
116007,116006,0.158
116008,116006,0.222
116009,116006,0.222
116010,116006,0.1
116011,116006,0.048
116012,116006,0.048
116013,116006,0.375
116014,116006,0.158
116015,116006,0.05
116016,116006,0.158
116017,116006,0.048
116018,116006,0.1
116019,116006,0.375
116020,116006,0.048
116001,116007,0.048
116002,116007,0.048
116003,116007,0.158
116004,116007,0.158
116005,116007,0.15
116006,116007,0.158
116007,116007,1
116008,116007,0.158
116009,116007,0.294
116010,116007,0.1
116011,116007,0.1
116012,116007,0.158
116013,116007,0.158
116014,116007,0
116015,116007,0.105
116016,116007,0.222
116017,116007,0.048
116018,116007,0.048
116019,116007,0.1
116020,116007,0.048
116001,116008,0
116002,116008,0
116003,116008,0.048
