"Exemplar.Row","Exemplar.Col","Jaccard"
117001,117001,1
117002,117001,0.158
117003,117001,0.294
117004,117001,0.158
117005,117001,0.1
117006,117001,0.222
117007,117001,0.1
117008,117001,0.048
117009,117001,0.294
117010,117001,0.1
117011,117001,0.467
117012,117001,0.222
117013,117001,0.158
117014,117001,0.1
117015,117001,0.294
117016,117001,0.1
117017,117001,0.1
117018,117001,0.1
117019,117001,0.158
117020,117001,0.222
117001,117002,0.158
117002,117002,1
117003,117002,0.048
117004,117002,0.158
117005,117002,0.294
117006,117002,0.294
117007,117002,0.048
117008,117002,0.467
117009,117002,0.375
117010,117002,0.375
117011,117002,0.1
117012,117002,0.048
117013,117002,0.158
117014,117002,0.222
117015,117002,0.1
117016,117002,0.158
117017,117002,0.222
117018,117002,0.048
117019,117002,0.375
117020,117002,0.375
117001,117003,0.294
117002,117003,0.048
117003,117003,1
117004,117003,0.1
117005,117003,0.1
117006,117003,0.1
117007,117003,0.294
117008,117003,0.048
117009,117003,0.158
117010,117003,0.048
117011,117003,0.294
117012,117003,0.1
117013,117003,0.222
117014,117003,0
117015,117003,0.375
117016,117003,0.1
117017,117003,0.1
117018,117003,0.467
117019,117003,0.1
117020,117003,0.1
117001,117004,0.158
117002,117004,0.158
117003,117004,0.1
117004,117004,1
117005,117004,0.222
117006,117004,0.1
117007,117004,0.1
117008,117004,0.1
117009,117004,0.222
117010,117004,0.1
117011,117004,0.294
117012,117004,0.1
117013,117004,0.158
117014,117004,0.158
117015,117004,0.1
117016,117004,0.222
117017,117004,0.1
117018,117004,0.294
117019,117004,0.1
117020,117004,0.222
117001,117005,0.1
117002,117005,0.294
117003,117005,0.1
117004,117005,0.222
117005,117005,1
117006,117005,0.1
117007,117005,0.222
117008,117005,0.1
117009,117005,0.1
117010,117005,0.158
117011,117005,0.158
117012,117005,0.1
117013,117005,0.158
117014,117005,0.158
117015,117005,0.158
117016,117005,0.158
117017,117005,0.294
117018,117005,0.158
117019,117005,0.222
117020,117005,0.294
117001,117006,0.222
117002,117006,0.294
117003,117006,0.1
117004,117006,0.1
117005,117006,0.1
117006,117006,1
117007,117006,0.1
117008,117006,0.222
117009,117006,0.222
117010,117006,0.375
117011,117006,0.222
117012,117006,0.1
117013,117006,0.294
117014,117006,0.294
117015,117006,0.158
117016,117006,0.1
117017,117006,0.375
117018,117006,0
117019,117006,0.294
117020,117006,0.158
117001,117007,0.1
117002,117007,0.048
117003,117007,0.294
117004,117007,0.1
117005,117007,0.222
117006,117007,0.1
117007,117007,1
117008,117007,0.1
117009,117007,0
117010,117007,0.048
117011,117007,0.1
117012,117007,0.048
117013,117007,0.222
117014,117007,0.158
117015,117007,0.222
117016,117007,0.158
117017,117007,0.222
117018,117007,0.222
117019,117007,0.1
117020,117007,0.158
117001,117008,0.048
117002,117008,0.467
117003,117008,0.048
117004,117008,0.1
117005,117008,0.1
117006,117008,0.222
117007,117008,0.1
117008,117008,1
117009,117008,0.222
117010,117008,0.467
117011,117008,0.048
117012,117008,0.048
117013,117008,0.222
117014,117008,0.375
117015,117008,0.1
117016,117008,0.375
117017,117008,0.1
117018,117008,0.048
117019,117008,0.294
117020,117008,0.294
117001,117009,0.294
117002,117009,0.375
117003,117009,0.158
117004,117009,0.222
117005,117009,0.1
117006,117009,0.222
117007,117009,0
117008,117009,0.222
117009,117009,1
117010,117009,0.222
117011,117009,0.158
117012,117009,0.048
117013,117009,0.158
117014,117009,0.222
117015,117009,0.1
117016,117009,0.222
117017,117009,0.1
117018,117009,0.158
117019,117009,0.294
117020,117009,0.222
117001,117010,0.1
117002,117010,0.375
117003,117010,0.048
117004,117010,0.1
117005,117010,0.158
117006,117010,0.375
117007,117010,0.048
117008,117010,0.467
117009,117010,0.222
117010,117010,1
117011,117010,0.1
117012,117010,0.048
117013,117010,0.294
117014,117010,0.375
117015,117010,0.158
117016,117010,0.294
117017,117010,0.158
117018,117010,0.048
117019,117010,0.375
117020,117010,0.375
117001,117011,0.467
117002,117011,0.1
117003,117011,0.294
