"Group","Exemplar.Row","Exemplar.Col","Jaccard"
"P1",1,1,1
"P1",2,1,0.375
"P1",3,1,0.1
"P1",4,1,0.1
"P1",5,1,0.222
"P1",6,1,0.1
"P1",7,1,0.1
"P1",8,1,0.222
"P1",9,1,0.375
"P1",10,1,0.294
"P1",11,1,0.294
"P1",12,1,0.158
"P1",13,1,0.222
"P1",14,1,0.1
"P1",15,1,0.294
"P1",16,1,0.222
"P1",17,1,0.375
"P1",18,1,0.158
"P1",19,1,0.158
"P1",20,1,0.158
"P1",1,2,0.375
"P1",2,2,1
"P1",3,2,0.1
"P1",4,2,0.1
"P1",5,2,0.222
"P1",6,2,0.222
"P1",7,2,0.158
"P1",8,2,0.158
"P1",9,2,0.294
"P1",10,2,0.222
"P1",11,2,0.222
"P1",12,2,0.048
"P1",13,2,0.158
"P1",14,2,0.158
"P1",15,2,0.158
"P1",16,2,0.158
"P1",17,2,0.048
"P1",18,2,0.158
"P1",19,2,0.222
"P1",20,2,0.1
"P1",1,3,0.1
"P1",2,3,0.1
"P1",3,3,1
"P1",4,3,0.158
"P1",5,3,0.222
"P1",6,3,0.158
"P1",7,3,0.294
"P1",8,3,0.158
"P1",9,3,0.1
"P1",10,3,0.222
"P1",11,3,0.294
"P1",12,3,0.375
"P1",13,3,0.222
"P1",14,3,0.294
"P1",15,3,0.375
"P1",16,3,0.222
"P1",17,3,0.375
"P1",18,3,0.158
"P1",19,3,0.294
"P1",20,3,0.294
"P1",1,4,0.1
"P1",2,4,0.1
"P1",3,4,0.158
"P1",4,4,1
"P1",5,4,0.158
"P1",6,4,0.222
"P1",7,4,0.1
"P1",8,4,0.158
"P1",9,4,0.1
"P1",10,4,0.375
"P1",11,4,0.158
"P1",12,4,0.222
"P1",13,4,0.158
"P1",14,4,0.158
"P1",15,4,0.222
"P1",16,4,0.158
"P1",17,4,0.222
"P1",18,4,0.158
"P1",19,4,0.048
"P1",20,4,0.158
"P1",1,5,0.222
"P1",2,5,0.222
"P1",3,5,0.222
"P1",4,5,0.158
"P1",5,5,1
"P1",6,5,0.222
"P1",7,5,0.294
"P1",8,5,0.1
"P1",9,5,0.294
"P1",10,5,0.1
"P1",11,5,0.222
"P1",12,5,0.222
"P1",13,5,0.375
"P1",14,5,0.294
"P1",15,5,0.294
