"Exemplar.1","Exemplar.2","Group","Jaccard"
1,2,"P1",0.38
1,3,"P1",0.1
1,4,"P1",0.1
1,5,"P1",0.22
1,6,"P1",0.1
1,7,"P1",0.1
1,8,"P1",0.22
1,9,"P1",0.38
1,10,"P1",0.29
1,11,"P1",0.29
1,12,"P1",0.16
1,13,"P1",0.22
1,14,"P1",0.1
1,15,"P1",0.29
1,16,"P1",0.22
1,17,"P1",0.38
1,18,"P1",0.16
1,19,"P1",0.16
1,20,"P1",0.16
2,3,"P1",0.1
2,4,"P1",0.1
2,5,"P1",0.22
2,6,"P1",0.22
2,7,"P1",0.16
2,8,"P1",0.16
2,9,"P1",0.29
2,10,"P1",0.22
2,11,"P1",0.22
2,12,"P1",0.05
2,13,"P1",0.16
2,14,"P1",0.16
2,15,"P1",0.16
2,16,"P1",0.16
2,17,"P1",0.05
2,18,"P1",0.16
2,19,"P1",0.22
2,20,"P1",0.1
3,4,"P1",0.16
3,5,"P1",0.22
3,6,"P1",0.16
3,7,"P1",0.29
3,8,"P1",0.16
3,9,"P1",0.1
3,10,"P1",0.22
3,11,"P1",0.29
3,12,"P1",0.38
3,13,"P1",0.22
3,14,"P1",0.29
3,15,"P1",0.38
3,16,"P1",0.22
3,17,"P1",0.38
3,18,"P1",0.16
3,19,"P1",0.29
3,20,"P1",0.29
4,5,"P1",0.16
4,6,"P1",0.22
4,7,"P1",0.1
4,8,"P1",0.16
4,9,"P1",0.1
4,10,"P1",0.38
4,11,"P1",0.16
4,12,"P1",0.22
4,13,"P1",0.16
4,14,"P1",0.16
4,15,"P1",0.22
4,16,"P1",0.16
4,17,"P1",0.22
4,18,"P1",0.16
4,19,"P1",0.05
4,20,"P1",0.16
5,6,"P1",0.22
5,7,"P1",0.29
5,8,"P1",0.1
5,9,"P1",0.29
5,10,"P1",0.1
5,11,"P1",0.22
5,12,"P1",0.22
5,13,"P1",0.38
5,14,"P1",0.29
5,15,"P1",0.29
5,16,"P1",0.22
5,17,"P1",0.1
5,18,"P1",0.29
5,19,"P1",0.1
5,20,"P1",0.1
6,7,"P1",0.22
6,8,"P1",0.05
6,9,"P1",0.05
6,10,"P1",0.16
6,11,"P1",0.16
6,12,"P1",0.16
6,13,"P1",0.22
6,14,"P1",0.16
6,15,"P1",0.29
6,16,"P1",0.22
6,17,"P1",0.16
6,18,"P1",0.16
6,19,"P1",0.1
6,20,"P1",0.1
7,8,"P1",0.1
7,9,"P1",0.16
7,10,"P1",0.16
7,11,"P1",0.1
7,12,"P1",0.38
7,13,"P1",0.16
7,14,"P1",0.38
7,15,"P1",0.29
7,16,"P1",0.29
7,17,"P1",0.22
7,18,"P1",0.1
7,19,"P1",0.57
7,20,"P1",0.29
8,9,"P1",0.47
8,10,"P1",0.22
8,11,"P1",0.16
8,12,"P1",0.1
8,13,"P1",0.16
8,14,"P1",0.16
8,15,"P1",0.05
8,16,"P1",0.22
8,17,"P1",0.22
8,18,"P1",0.16
8,19,"P1",0.16
8,20,"P1",0.16
9,10,"P1",0.22
9,11,"P1",0.22
9,12,"P1",0.16
9,13,"P1",0.22
9,14,"P1",0.1
9,15,"P1",0.16
9,16,"P1",0.1
9,17,"P1",0.16
9,18,"P1",0.29
9,19,"P1",0.16
9,20,"P1",0.1
10,11,"P1",0.22
10,12,"P1",0.16
10,13,"P1",0.1
10,14,"P1",0.16
10,15,"P1",0.29
10,16,"P1",0.29
10,17,"P1",0.22
10,18,"P1",0.05
10,19,"P1",0.22
10,20,"P1",0.29
11,12,"P1",0.1
11,13,"P1",0.29
11,14,"P1",0.22
11,15,"P1",0.16
11,16,"P1",0.05
11,17,"P1",0.22
11,18,"P1",0.22
11,19,"P1",0.16
11,20,"P1",0.16
12,13,"P1",0.22
12,14,"P1",0.29
12,15,"P1",0.38
12,16,"P1",0.16
12,17,"P1",0.29
12,18,"P1",0.05
12,19,"P1",0.38
12,20,"P1",0.29
13,14,"P1",0.16
13,15,"P1",0.22
13,16,"P1",0.22
13,17,"P1",0.16
13,18,"P1",0.29
13,19,"P1",0.1
13,20,"P1",0.22
14,15,"P1",0.16
14,16,"P1",0.22
14,17,"P1",0.22
14,18,"P1",0.16
14,19,"P1",0.22
14,20,"P1",0.38
15,16,"P1",0.22
15,17,"P1",0.29
15,18,"P1",0.16
15,19,"P1",0.29
15,20,"P1",0.22
16,17,"P1",0.29
16,18,"P1",0.1
16,19,"P1",0.16
16,20,"P1",0.29
17,18,"P1",0.16
17,19,"P1",0.16
17,20,"P1",0.38
18,19,"P1",0
18,20,"P1",0.1
19,20,"P1",0.38
1,2,"P3M1",0.048
1,3,"P3M1",0.294
1,4,"P3M1",0.1
1,5,"P3M1",0.1
1,6,"P3M1",0.158
1,7,"P3M1",0.158
1,8,"P3M1",0.158
1,9,"P3M1",0.158
1,10,"P3M1",0.1
1,11,"P3M1",0.048
1,12,"P3M1",0.158
1,13,"P3M1",0.375
1,14,"P3M1",0.158
1,15,"P3M1",0.375
1,16,"P3M1",0.294
1,17,"P3M1",0.158
1,18,"P3M1",0.158
1,19,"P3M1",0.222
1,20,"P3M1",0.1
2,3,"P3M1",0.1
2,4,"P3M1",0.222
2,5,"P3M1",0.048
2,6,"P3M1",0.222
2,7,"P3M1",0.048
2,8,"P3M1",0.222
2,9,"P3M1",0.048
2,10,"P3M1",0.1
2,11,"P3M1",0.1
2,12,"P3M1",0.375
2,13,"P3M1",0.158
2,14,"P3M1",0.158
