ParticipantInitials,ParticipantN,Nsets,Group
anko,1,3,P1
daha,2,2,P1
diam,3,5,P1
gege,4,5,P1
jawa,5,4,P1
logo,6,5,P1
male,7,2,P1
sapa,8,2,P1
seoc,9,8,P1
toal,10,2,P1
wiad,11,5,P1
anko,1,3,P3M1
daha,2,3,P3M1
diam,3,3,P3M1
gege,4,7,P3M1
jawa,5,8,P3M1
logo,6,6,P3M1
male,7,2,P3M1
sapa,8,3,P3M1
seoc,9,8,P3M1
toal,10,3,P3M1
wiad,11,4,P3M1
anko,1,6,P31M
daha,2,3,P31M
diam,3,4,P31M
gege,4,7,P31M
jawa,5,9,P31M
logo,6,4,P31M
male,7,3,P31M
sapa,8,2,P31M
seoc,9,8,P31M
toal,10,2,P31M
wiad,11,5,P31M
anko,1,5,P6
daha,2,3,P6
diam,3,4,P6
gege,4,8,P6
jawa,5,9,P6
logo,6,8,P6
male,7,8,P6
sapa,8,3,P6
seoc,9,7,P6
toal,10,2,P6
wiad,11,4,P6
anko,1,5,P6M
daha,2,3,P6M
diam,3,3,P6M
gege,4,7,P6M
jawa,5,9,P6M
logo,6,4,P6M
male,7,2,P6M
sapa,8,3,P6M
seoc,9,8,P6M
toal,10,2,P6M
wiad,11,5,P6M
